	created_at	text	source	retweet_count	favorite_count	year	month	day
0	2022-06-29 10:45:41	RT @GKakarinos: Βέλγιο και Γερμανία, επαναλαμβάνεται το μοτίβο που είδαμε και στις ΗΠΑ: οι περιοχές με τα υψηλότερα ποσοστά εμβολιασμού εμφ…	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	5	0	2022	6	29
1	2022-06-29 10:44:48	"RT @GKakarinos: Σοβαρά τώρα θα κάνει κανένας από τους ειδικούς 4η δόση του #εμβολιου ή απλά την ανοίξανε για όλους τους υπόλοιπους?

#Εμβολ…"	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	42	0	2022	6	29
2	2022-06-29 10:43:05	"RT @maria_alexea: Ο διάσημος ψυχολόγος λέει: ""κλείστε στη φυλακή , γιατρούς και ψυχοθεραπευτές χασάπηδες και ψεύτες"". Αναφέρεται στο βιασμό…"	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	4	0	2022	6	29
3	2022-06-29 10:39:26	"RT @News247gr: Κορονοϊός - Διασπορά: ""Έκρηξη"" στην Αττική - Υψηλός ο αριθμός κρουσμάτων στην Κρήτη  "	"<a href=""http://placeholder.test"" rel=""nofollow"">iCellApp</a>"	2	0	2022	6	29
4	2022-06-29 10:33:36	"RT @GKakarinos: Σοβαρά τώρα θα κάνει κανένας από τους ειδικούς 4η δόση του #εμβολιου ή απλά την ανοίξανε για όλους τους υπόλοιπους?

#Εμβολ…"	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	42	0	2022	6	29
5	2022-06-29 10:23:46	"RT @Marlenkal: Ο κορονοϊός θερίζει. 
Πυρετός, εξάντληση και μια ταλαιπωρία που θα είχαμε αποφύγει, αν δε μας έπιανε πρεμούρα να πετάξουμε τ…"	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	6	0	2022	6	29
6	2022-06-29 10:22:06	Κορονοϊός - Καπραβέλος: «Στο ''Γ. Παπανικολάου'' είχαμε αύξηση των εισαγωγών 600% την Τρίτη – Να επανεκτιμηθεί η κα…  	"<a href=""https://thestandard.gr"" rel=""nofollow"">The_Standard_twitter</a>"	0	0	2022	6	29
7	2022-06-29 10:17:13	"RT @Marlenkal: Ο κορονοϊός θερίζει. 
Πυρετός, εξάντληση και μια ταλαιπωρία που θα είχαμε αποφύγει, αν δε μας έπιανε πρεμούρα να πετάξουμε τ…"	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	6	0	2022	6	29
8	2022-06-29 10:10:22	" Μηδέν όφελος απο το εμβόλιο, 
0.1 πιθανότητα θανάτου εξαιτίας του εμβολίου.
Επίσημα, δημόσ…  "	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	1	2022	6	29
9	2022-06-29 10:04:38	RT @QuestoMagico: Ο κορονοϊος βραζει την Αθήνα και στον προαστιακό δεν φοράνε μάσκες 🤡	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8	0	2022	6	29
10	2022-06-29 10:02:25	"RT @GKakarinos: Σοβαρά τώρα θα κάνει κανένας από τους ειδικούς 4η δόση του #εμβολιου ή απλά την ανοίξανε για όλους τους υπόλοιπους?

#Εμβολ…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	42	0	2022	6	29
